FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2022-12-20,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,2991,FLL,"Fort Lauderdale, FL",PHX,"Phoenix, AZ",930,946.0,16.0,21.0,1007.0,1255.0,8.0,1245,1303.0,18.0,0.0,,0.0,315.0,317.0,288.0,1972.0,16.0,0.0,2.0,0.0,0.0
2022-05-05,Allegiant Air,Allegiant Air: G4,G4,20368,2406,SFB,"Sanford, FL",OMA,"Omaha, NE",730,730.0,0.0,12.0,742.0,929.0,10.0,941,939.0,-2.0,0.0,,0.0,191.0,189.0,167.0,1195.0,,,,,
2019-08-25,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,972,PHX,"Phoenix, AZ",DFW,"Dallas/Fort Worth, TX",50,35.0,-15.0,9.0,44.0,431.0,4.0,501,435.0,-26.0,0.0,,0.0,131.0,120.0,107.0,868.0,,,,,
2022-01-28,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5431,HPN,"White Plains, NY",CLT,"Charlotte, NC",1000,1018.0,18.0,28.0,1046.0,1227.0,13.0,1214,1240.0,26.0,0.0,,0.0,134.0,142.0,101.0,564.0,18.0,0.0,8.0,0.0,0.0
2023-06-26,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,542,LAX,"Los Angeles, CA",JFK,"New York, NY",2130,2310.0,100.0,11.0,2321.0,648.0,4.0,602,652.0,50.0,0.0,,0.0,332.0,282.0,267.0,2475.0,12.0,0.0,0.0,0.0,38.0
2019-02-07,Envoy Air,Envoy Air: MQ,MQ,20398,3390,JFK,"New York, NY",ORF,"Norfolk, VA",1635,1644.0,9.0,17.0,1701.0,1755.0,2.0,1805,1757.0,-8.0,0.0,,0.0,90.0,73.0,54.0,290.0,,,,,
2022-08-07,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3528,PDX,"Portland, OR",SEA,"Seattle, WA",720,719.0,-1.0,34.0,753.0,819.0,11.0,831,830.0,-1.0,0.0,,0.0,71.0,71.0,26.0,129.0,,,,,
2023-05-23,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,552,MCI,"Kansas City, MO",DEN,"Denver, CO",1718,1714.0,-4.0,15.0,1729.0,1744.0,14.0,1810,1758.0,-12.0,0.0,,0.0,112.0,104.0,75.0,533.0,,,,,
2022-02-13,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2620,ORD,"Chicago, IL",MSN,"Madison, WI",2005,2003.0,-2.0,17.0,2020.0,2049.0,4.0,2106,2053.0,-13.0,0.0,,0.0,61.0,50.0,29.0,109.0,,,,,
2022-12-24,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2850,DAL,"Dallas, TX",MDW,"Chicago, IL",600,623.0,23.0,8.0,631.0,818.0,7.0,810,825.0,15.0,0.0,,0.0,130.0,122.0,107.0,793.0,15.0,0.0,0.0,0.0,0.0
2019-05-27,Republic Airline,Republic Airline: YX,YX,20452,4577,DCA,"Washington, DC",MSY,"New Orleans, LA",1145,1142.0,-3.0,15.0,1157.0,1319.0,4.0,1332,1323.0,-9.0,0.0,,0.0,167.0,161.0,142.0,969.0,,,,,
2023-01-12,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5122,IAH,"Houston, TX",MEI,"Meridian, MS",1740,1735.0,-5.0,21.0,1756.0,1855.0,6.0,1919,1901.0,-18.0,0.0,,0.0,99.0,86.0,59.0,422.0,,,,,
2019-02-07,Envoy Air,Envoy Air: MQ,MQ,20398,4002,MSN,"Madison, WI",ORD,"Chicago, IL",1818,2023.0,125.0,18.0,2041.0,2118.0,15.0,1924,2133.0,129.0,0.0,,0.0,66.0,70.0,37.0,108.0,0.0,0.0,127.0,0.0,2.0
2023-02-23,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,880,MCO,"Orlando, FL",SJU,"San Juan, PR",1853,2045.0,112.0,21.0,2106.0,30.0,4.0,2243,34.0,111.0,0.0,,0.0,170.0,169.0,144.0,1189.0,0.0,0.0,0.0,0.0,111.0
2019-06-18,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,681,SFO,"San Francisco, CA",LAS,"Las Vegas, NV",2042,2036.0,-6.0,19.0,2055.0,2158.0,6.0,2215,2204.0,-11.0,0.0,,0.0,93.0,88.0,63.0,414.0,,,,,
2019-02-13,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5170,CLT,"Charlotte, NC",PIT,"Pittsburgh, PA",745,741.0,-4.0,29.0,810.0,906.0,4.0,917,910.0,-7.0,0.0,,0.0,92.0,89.0,56.0,366.0,,,,,
2022-07-12,Republic Airline,Republic Airline: YX,YX,20452,4740,LGA,"New York, NY",STL,"St. Louis, MO",659,648.0,-11.0,17.0,705.0,815.0,7.0,852,822.0,-30.0,0.0,,0.0,173.0,154.0,130.0,888.0,,,,,
2020-07-10,JetBlue Airways,JetBlue Airways: B6,B6,20409,191,JFK,"New York, NY",ACK,"Nantucket, MA",1414,1421.0,7.0,53.0,1514.0,1559.0,10.0,1516,1609.0,53.0,0.0,,0.0,62.0,108.0,45.0,199.0,7.0,0.0,46.0,0.0,0.0
2019-03-15,JetBlue Airways,JetBlue Airways: B6,B6,20409,1785,BOS,"Boston, MA",PIT,"Pittsburgh, PA",2213,2218.0,5.0,42.0,2300.0,25.0,4.0,2356,29.0,33.0,0.0,,0.0,103.0,131.0,85.0,496.0,5.0,0.0,28.0,0.0,0.0
